CountyId	Name	OfficeName	PhysicalAddr1	PhysicalAddr2	PhysicalAddrCSZ	MapLink	MailingAddr1	MailingAddr2	MailingAddrCSZ	OfficePhoneNum	OfficePhoneNumExt	FaxNum	WebsiteAddr	OfficeHours	DirectorName
11	BUNCOMBE	BUNCOMBE COUNTY BOARD OF ELECTIONS	77 MCDOWELL STREET		ASHEVILLE, NC 28801	http://maps.google.com/?q=77+MCDOWELL+STREET+ASHEVILLE,+NC+28801	PO BOX 7468		ASHEVILLE, NC 28802	828-250-4200		828-250-6262	http://www.buncombecounty.org/governing/depts/Election/	M-F (8:00-5:00)	TRENA VELEZ
12	BURKE	BURKE COUNTY BOARD OF ELECTIONS	2128 S STERLING ST	STE. 100	MORGANTON, NC 28655	http://maps.google.com/?q=2128+S+STERLING+ST+MORGANTON,+NC+28655	P O BOX 798		MORGANTON, NC 28680	828-764-9010		828-764-9011	http://www.burkenc.org/departments/board-of-elections	M-F (8:00-5:00)	DEBBIE K. MACE
13	CABARRUS	CABARRUS COUNTY BOARD OF ELECTIONS	369 CHURCH ST N		CONCORD, NC 28025	http://maps.google.com/?q=369+CHURCH+ST+N+CONCORD,+NC+28025	PO BOX 1315		CONCORD, NC 28026	704-920-2860		704-920-2831	http://www.cabarruscounty.us/elections	M-F (8:00-5:00)	CAROL SOLES
14	CALDWELL	CALDWELL COUNTY BOARD OF ELECTIONS	905 WEST AVENUE		LENOIR, NC 28645	http://maps.google.com/?q=905+WEST+AVENUE+LENOIR,+NC+28645	PO BOX 564		LENOIR, NC 28645	828-757-1326		828-757-1195	http://www.caldwellcountync.org/caldwell-county-nc-departments/board-of-elections/	M-F (8:00-5:00)	SANDRA RICH
15	CAMDEN	CAMDEN COUNTY BOARD OF ELECTIONS	117 NC HWY 343 N		CAMDEN, NC 27921	http://maps.google.com/?q=117+NC+HWY+343+N+CAMDEN,+NC+27921	PO BOX 206		CAMDEN, NC 27921	252-338-5530		252-338-1271	http://www.camdencountync.gov/departments/board-of-elections	MONDAY - FRIDAY 8:00AM-NOON & 1:00PM-5:00PM	ELAINE P. BEST
16	CARTERET	CARTERET COUNTY BOARD OF ELECTIONS	1702 LIVE OAK ST, SUITE 200		BEAUFORT, NC 28516	http://maps.google.com/?q=1702+LIVE+OAK+ST,+SUITE+200+BEAUFORT,+NC+28516	Same as Physical Address			252-728-8460		252-728-8571	http://www.carteretcountyboe.org	M-F (8:00-5:00)	STEVE HINES
17	CASWELL	CASWELL COUNTY BOARD OF ELECTIONS	140 MAIN STREET		YANCEYVILLE, NC 27379	http://maps.google.com/?q=140+MAIN+STREET+YANCEYVILLE,+NC+27379	PO BOX 698		YANCEYVILLE, NC 27379	336-694-4010	2	336-694-9924	http://www.caswellcountync.gov/pView.aspx?id=8974&catid=600	M-F (8:00-5:00)	ROBERT WEBB
18	CATAWBA	CATAWBA COUNTY BOARD OF ELECTIONS	25 GOVERNMENT DRIVE		NEWTON, NC 28658	http://maps.google.com/?q=25+GOVERNMENT+DRIVE+NEWTON,+NC+28658	PO BOX 132		NEWTON, NC 28658	828-464-2424		828-464-9832	http://www.catawbacountync.gov/elections/	M-F (8:00-5:00)	AMANDA H.  DUNCAN
19	CHATHAM	CHATHAM COUNTY BOARD OF ELECTIONS	984 THOMPSON ST., STE. D		PITTSBORO, NC 27312	http://maps.google.com/?q=984+THOMPSON+ST.,+STE.+D+PITTSBORO,+NC+27312	PO BOX 111		PITTSBORO, NC 27312	919-545-8500		919-542-6430	http://www.chathamnc.org/Index.aspx?page=110	M-F (8:00-5:00)	PANDORA PASCHAL
20	CHEROKEE	CHEROKEE COUNTY BOARD OF ELECTIONS	40 PEACHTREE STREET		MURPHY, NC 28906	http://maps.google.com/?q=40+PEACHTREE+STREET+MURPHY,+NC+28906	Same as Physical Address			828-837-6670		828-837-7998	http://www.cherokeecounty-nc.gov/274/Board-of-Elections	M-F (8:00-5:00)	LEIGHSA JONES
21	CHOWAN	CHOWAN COUNTY BOARD OF ELECTIONS	730 N GRANVILLE STREET	SUITE "D"	EDENTON, NC 27932	http://maps.google.com/?q=730+N+GRANVILLE+STREET+EDENTON,+NC+27932	P O BOX 133		EDENTON, NC 27932	252-482-4010		252-482-5920	https://www.chowancounty-nc.gov/index.asp?SEC={164665BE-54CB-497A-B611-433DA2708EA6}	M-F (8:00-5:00)	TERRENCE S. MEYERS
22	CLAY	CLAY COUNTY BOARD OF ELECTIONS	54 CHURCH STREET		HAYESVILLE, NC 28904	http://maps.google.com/?q=54+CHURCH+STREET+HAYESVILLE,+NC+28904	54 CHURCH ST		HAYESVILLE, NC 28904	828-389-6812		828-389-3757	http://www.claycountyboardofelections.com	M-F (8:00-5:00)	REBECCA HALL
23	CLEVELAND	CLEVELAND COUNTY BOARD OF ELECTIONS	215 PATTON DR.		SHELBY, NC 28150	http://maps.google.com/?q=215+PATTON+DR.+SHELBY,+NC+28150	P O BOX 1299		SHELBY, NC 28151	704-484-4858		704-484-4958	http://www.clevelandcounty.com/main/departments/board_of_elections.php	M-F (8:00-5:00)	CLIFTON W. PHILBECK
24	COLUMBUS	COLUMBUS COUNTY BOARD OF ELECTIONS	2322 JAMES B. WHITE HWY. N		WHITEVILLE, NC 28472	http://maps.google.com/?q=2322+JAMES+B.+WHITE+HWY.+N+WHITEVILLE,+NC+28472	P O BOX 37		WHITEVILLE, NC 28472	910-640-6609		910-640-0916	http://columbusco.org/Departments/Boardofelections.aspx	M-F (8:30-5:00)	CARLA STRICKLAND
25	CRAVEN	CRAVEN COUNTY BOARD OF ELECTIONS	406 CRAVEN STREET		NEW BERN, NC 28560	http://maps.google.com/?q=406+CRAVEN+STREET+NEW+BERN,+NC+28560	Same as Physical Address			252-636-6610		252-636-6687	http://www.cravenvote.com/	M-F (8:00-5:00)	MELONI M. WRAY
26	CUMBERLAND	CUMBERLAND COUNTY BOARD OF ELECTIONS	227 FOUNTAINHEAD LANE SUITE 101		FAYETTEVILLE, NC 28301	http://maps.google.com/?q=227+FOUNTAINHEAD+LANE+SUITE+101+FAYETTEVILLE,+NC+28301	Same as Physical Address			910-678-7733		910-678-7738	http://www.co.cumberland.nc.us/departments/election-group/elections	M-F (8:00-5:00)	TERRI ROBERTSON
27	CURRITUCK	CURRITUCK COUNTY BOARD OF ELECTIONS	2811 CARATOKE HIGHWAY		CURRITUCK, NC 27929	http://maps.google.com/?q=2811+CARATOKE+HIGHWAY+CURRITUCK,+NC+27929	PO BOX 177		CURRITUCK, NC 27929	252-232-2525		252-232-2427	https://co.currituck.nc.us/departments/board-of-elections/	M-F (8:00-5:00)	SYDNI BANKS
28	DARE	DARE COUNTY BOARD OF ELECTIONS	954 MARSHALL COLLINS DRIVE		MANTEO, NC 27954	http://maps.google.com/?q=954+MARSHALL+COLLINS+DRIVE+MANTEO,+NC+27954	P.O. BOX 1000		MANTEO, NC 27954	252-475-5631		252-475-1223	https://www.darenc.com/departments/board-of-elections/	M-F (8:30-5:00)	MICHELE N BARNES
29	DAVIDSON	DAVIDSON COUNTY BOARD OF ELECTIONS	945 N MAIN ST SUITE A		LEXINGTON, NC 27292	http://maps.google.com/?q=945+N+MAIN+ST+SUITE+A+LEXINGTON,+NC+27292	P O BOX 1084		LEXINGTON, NC 27293	336-242-2190		336-242-2199	http://www.votedavidsoncountync.com	M-F (8:00-5:00)	RUTH H HUNEYCUTT
30	DAVIE	DAVIE COUNTY BOARD OF ELECTIONS	161 POPLAR ST. SUITE 102		MOCKSVILLE, NC 27028	http://maps.google.com/?q=161+POPLAR+ST.+SUITE+102+MOCKSVILLE,+NC+27028	161 POPLAR ST. SUITE 102		MOCKSVILLE, NC 27028	336-753-6072		336-751-0185	http://www.daviecountync.gov/index.aspx?nid=93	M-F (8:00-5:00)	TABATHA PARRISH
31	DUPLIN	DUPLIN COUNTY BOARD OF ELECTIONS	160 MALLARD STREET		KENANSVILLE, NC 28349	http://maps.google.com/?q=160+MALLARD+STREET+KENANSVILLE,+NC+28349	PO BOX 975		KENANSVILLE, NC 28349	910-296-2170		910-296-2167	http://www.duplincountync.com/governmentOffices/boardOfElections.html	M-F (8:00-5:00)	SUSAN R. WILLIAMS
32	DURHAM	DURHAM COUNTY BOARD OF ELECTIONS	201 N. ROXBORO ST		DURHAM, NC 27701	http://maps.google.com/?q=201+N.+ROXBORO+ST+DURHAM,+NC+27701	PO BOX 868		DURHAM, NC 27702	919-560-0700		919-560-0688	http://www.dconc.gov/elect	M-F (8:30-5:00)	DEREK L. BOWENS
33	EDGECOMBE	EDGECOMBE COUNTY BOARD OF ELECTIONS	201 ST ANDREW ST., RM 434		TARBORO, NC 27886	http://maps.google.com/?q=201+ST+ANDREW+ST.,+RM+434+TARBORO,+NC+27886	PO BOX 10		TARBORO, NC 27886	252-641-7852		252-641-1740	http://www.edgecombecountync.gov/departments/board_of_elections/	M-F (8:00-5:00)	JERRY W. SPRUELL
34	FORSYTH	FORSYTH COUNTY BOARD OF ELECTIONS	201 N. CHESTNUT STREET		WINSTON SALEM, NC 27101	http://maps.google.com/?q=201+N.+CHESTNUT+STREET+WINSTON+SALEM,+NC+27101	201 N. CHESTNUT STREET		WINSTON SALEM, NC 27101	336-703-2800		336-727-2893	http://www.fcvotes.com	M-F (8:00-5:00)	TIM TSUJII
35	FRANKLIN	FRANKLIN COUNTY BOARD OF ELECTIONS	107 INDUSTRIAL DRIVE		LOUISBURG, NC 27549	http://maps.google.com/?q=107+INDUSTRIAL+DRIVE+LOUISBURG,+NC+27549	PO BOX 180		LOUISBURG, NC 27549	919-496-3898		919-496-7418	http://www.franklincountync.us/services/board-of-elections	M-F (8:00-5:00)	MICHELLE CHAVIS
36	GASTON	GASTON COUNTY BOARD OF ELECTIONS	410 W. FRANKLIN BLVD., STE. 50		GASTONIA, NC 28052	http://maps.google.com/?q=410+W.+FRANKLIN+BLVD.,+STE.+50+GASTONIA,+NC+28052	P O BOX 1396		GASTONIA, NC 28053	704-852-6005		704-852-6011	http://www.gastoncountyelections.com	M-F (8:30-5:00)	ADAM RAGAN
37	GATES	GATES COUNTY BOARD OF ELECTIONS	931 MAIN ST		GATESVILLE, NC 27938	http://maps.google.com/?q=931+MAIN+ST+GATESVILLE,+NC+27938	PO BOX 621		GATESVILLE, NC 27938	252-357-1780		252-357-4341	https://gatescounty.govoffice2.com/index.asp?SEC=969ACD2B-E638-449C-88E1-9883A3F3AB75&Type=B_BASIC	MON.-FRI. 8:30AM-5PM	CLYTIA A JOHNSON
38	GRAHAM	GRAHAM COUNTY BOARD OF ELECTIONS	18 COURT STREET		ROBBINSVILLE, NC 28771	http://maps.google.com/?q=18+COURT+STREET+ROBBINSVILLE,+NC+28771	PO BOX 1239		ROBBINSVILLE, NC 28771	828-479-7969		828-479-4264	http://elections@grahamnc.org	M-F (8:30-5:00)	TERESA C. GARLAND
39	GRANVILLE	GRANVILLE COUNTY BOARD OF ELECTIONS	208 WALL STREET		OXFORD, NC 27565	http://maps.google.com/?q=208+WALL+STREET+OXFORD,+NC+27565	PO BOX 83		OXFORD, NC 27565	919-693-2515		919-690-0245	http://www.granvillecounty.org/government/board-of-elections/	M-F (8:30-5:00)	TONYA C. BURNETTE
40	GREENE	GREENE COUNTY BOARD OF ELECTIONS	110 SE FIRST STREET		SNOW HILL, NC 28580	http://maps.google.com/?q=110+SE+FIRST+STREET+SNOW+HILL,+NC+28580	PO BOX 583		SNOW HILL, NC 28580	252-747-5921		252-747-2426	http://www.greeneboe.com	M-F (8:00 AM-12:00 NOON, 1:00 PM-5:00PM)	TREY CASH
41	GUILFORD	GUILFORD COUNTY BOARD OF ELECTIONS	301 W. MARKET ST, ROOM 115		GREENSBORO, NC 27401	http://maps.google.com/?q=301+W.+MARKET+ST,+ROOM+115+GREENSBORO,+NC+27401	P O BOX 3427		GREENSBORO, NC 27402	336-641-3836		336-641-7676	http://www.guilfordelections.org	M-F (8:00-5:00)	CHARLIE COLLICUTT
42	HALIFAX	HALIFAX COUNTY BOARD OF ELECTIONS	10 N. KING STREET		HALIFAX, NC 27839	http://maps.google.com/?q=10+N.+KING+STREET+HALIFAX,+NC+27839	PO BOX 101		HALIFAX, NC 27839	252-583-4391		252-583-1068	https://www.halifaxnc.com/243/Board-of-Elections	M-F (8:30-5:00)	KRISTIN  SCOTT
43	HARNETT	HARNETT COUNTY BOARD OF ELECTIONS	308 W. DUNCAN ST		LILLINGTON, NC 27546	http://maps.google.com/?q=308+W.+DUNCAN+ST+LILLINGTON,+NC+27546	PO BOX 356		LILLINGTON, NC 27546	910-893-7553		910-893-4655	http://www.harnett.org/elections/	M-F (8:00-5:00)	CLAIRE JONES
44	HAYWOOD	HAYWOOD COUNTY BOARD OF ELECTIONS	63 ELMWOOD WAY	SUITE A	WAYNESVILLE, NC 28786	http://maps.google.com/?q=63+ELMWOOD+WAY+WAYNESVILLE,+NC+28786	Same as Physical Address			828-452-6633		828-452-6750	https://www.haywoodcountync.gov/173/Elections	M-F (8:30-5:00)	ROBERT INMAN
45	HENDERSON	HENDERSON COUNTY BOARD OF ELECTIONS	75 E. CENTRAL ST.		HENDERSONVILLE, NC 28792	http://maps.google.com/?q=75+E.+CENTRAL+ST.+HENDERSONVILLE,+NC+28792	PO BOX 2090		HENDERSONVILLE, NC 28793	828-697-4970		828-697-4590	http://www.hendersoncountync.gov/elections/	M-F (8:30-5:00)	BEVERLY W. CUNNINGHAM
46	HERTFORD	HERTFORD COUNTY BOARD OF ELECTIONS	418 EVERETT ST	SUITE A	AHOSKIE, NC 27910	http://maps.google.com/?q=418+EVERETT+ST+AHOSKIE,+NC+27910	PO BOX 416		WINTON, NC 27986	252-358-7812			http://www.hertfordcountync.gov/departments/general-administration/elections/	M-F (8:30-5:00)	SHEILA PRIVOTT
47	HOKE	HOKE COUNTY BOARD OF ELECTIONS	227 N MAIN ST		RAEFORD, NC 28376	http://maps.google.com/?q=227+N+MAIN+ST+RAEFORD,+NC+28376	PO BOX 1565		RAEFORD, NC 28376	910-875-8751	1550	910-875-9084	http://www.hokecounty.net/index.aspx?nid=235	8:00 AM-5:00 PM	TOWANNA JACKSON
48	HYDE	HYDE COUNTY BOARD OF ELECTIONS	1223 MAIN STREET		SWAN QUARTER, NC 27885	http://maps.google.com/?q=1223+MAIN+STREET+SWAN+QUARTER,+NC+27885	PO BOX 152		SWAN QUARTER, NC 27885	252-926-4194		252-926-3707	http://www.hydecountync.gov/departments/elections_office.php	M-W-F (9:00-1:00)	VIOLA WILLIAMS
49	IREDELL	IREDELL COUNTY BOARD OF ELECTIONS	203 STOCKTON ST.		STATESVILLE, NC 28677	http://maps.google.com/?q=203+STOCKTON+ST.+STATESVILLE,+NC+28677	Same as Physical Address			704-878-3140		704-832-2312	https://www.co.iredell.nc.us/162/Elections	M-F (8:00-5:00)	BECKY GALLIHER
50	JACKSON	JACKSON COUNTY BOARD OF ELECTIONS	876 SKYLAND DRIVE	SUITE 1	SYLVA, NC 28779	http://maps.google.com/?q=876+SKYLAND+DRIVE+SYLVA,+NC+28779	Same as Physical Address			828-586-7538		828-586-1951	https://www.jacksonnc.org/board-of-elections/home	M-F (8:00-5:00)	LISA LOVEDAHL
51	JOHNSTON	JOHNSTON COUNTY BOARD OF ELECTIONS	205 S. SECOND ST.		SMITHFIELD, NC 27577	http://maps.google.com/?q=205+S.+SECOND+ST.+SMITHFIELD,+NC+27577	PO BOX 1172		SMITHFIELD, NC 27577	919-989-5095		919-989-5142	http://www.johnstonnc.com/joconcelections/	M-F (8:00-5:00)	LEIGH ANNE PRICE
52	JONES	JONES COUNTY BOARD OF ELECTIONS	367-B HWY 58-S		TRENTON, NC 28585	http://maps.google.com/?q=367-B+HWY+58-S+TRENTON,+NC+28585	Same as Physical Address			252-448-3921		252-448-1040	https://www.jonescountync.gov/index.asp?SEC=62269930-4049-4977-8B95-4E5B7C747907	8:00AM - 5:00PM	JENNIFER KING
53	LEE	LEE COUNTY BOARD OF ELECTIONS	225 S. STEELE ST.		SANFORD, NC 27330	http://maps.google.com/?q=225+S.+STEELE+ST.+SANFORD,+NC+27330	P O BOX 1443		SANFORD, NC 27331	919-718-4646		919-718-4629	https://leecountync.gov/Departments/Elections	M-F (8:00-5:00)	PARKER HOLLAND
54	LENOIR	LENOIR COUNTY BOARD OF ELECTIONS	110-C S HERRITAGE ST		KINSTON, NC 28501	http://maps.google.com/?q=110-C+S+HERRITAGE+ST+KINSTON,+NC+28501	PO BOX 3503		KINSTON, NC 28502	252-523-0636		252-523-3472	http://www.co.lenoir.nc.us/boe.html	M-F (8:30-5:00)	DANA W. KING
55	LINCOLN	LINCOLN COUNTY BOARD OF ELECTIONS	115 W MAIN ST, ROOM 201		LINCOLNTON, NC 28092	http://maps.google.com/?q=115+W+MAIN+ST,+ROOM+201+LINCOLNTON,+NC+28092	115 W. MAIN ST ROOM 201		LINCOLNTON, NC 28092	704-736-8480		704-736-8804	http://www.lincolncounty.org/index.aspx?nid=112	M-F (8:00-5:00)	BRADLEY R. PUTNAM
56	MACON	MACON COUNTY BOARD OF ELECTIONS	5 W MAIN ST	FLOOR 1	FRANKLIN, NC 28734	http://maps.google.com/?q=5+W+MAIN+ST+FRANKLIN,+NC+28734	5 WEST MAIN ST	FLOOR 1	FRANKLIN, NC 28734	828-349-2034	2035	828-349-2557	http://maconnc.org/board-of-elections.html	M-F (8:00-5:00)	MELANIE D. THIBAULT
57	MADISON	MADISON COUNTY BOARD OF ELECTIONS	5707 HWY 25-70 RM 16		MARSHALL, NC 28753	http://maps.google.com/?q=5707+HWY+25-70+RM+16+MARSHALL,+NC+28753	PO BOX 142		MARSHALL, NC 28753	828-649-3731		828-649-0187	https://www.madisoncountync.gov/board-of-elections.html	M-F (8:30-5:00)	KATHY M. RAY
58	MARTIN	MARTIN COUNTY BOARD OF ELECTIONS	305 E MAIN ST, ROOM 120		WILLIAMSTON, NC 27892	http://maps.google.com/?q=305+E+MAIN+ST,+ROOM+120+WILLIAMSTON,+NC+27892	PO BOX 801		WILLIAMSTON, NC 27892	252-789-4317		252-789-4319	http://www.martincountyncgov.com/election	M-F (8:00-12:00 & 1:00-5:00)	KRISTY DUPREE MODLIN
59	MCDOWELL	MCDOWELL COUNTY BOARD OF ELECTIONS	60 E. COURT ST		MARION, NC 28752	http://maps.google.com/?q=60+E.+COURT+ST+MARION,+NC+28752	PO BOX 1509		MARION, NC 28752	828-652-7121	342	828-659-3294	http://www.mcdowellboe.com	M-F (8:30-5:00)	KIMBERLY WELBORN
60	MECKLENBURG	MECKLENBURG COUNTY BOARD OF ELECTIONS	741 KENILWORTH AVE STE 202		CHARLOTTE, NC 28204	http://maps.google.com/?q=741+KENILWORTH+AVE+STE+202+CHARLOTTE,+NC+28204	PO BOX 31788		CHARLOTTE, NC 28231	704-336-2133		704-343-0537	http://www.meckboe.org/	M-F (8:00-5:00)	MICHAEL DICKERSON
61	MITCHELL	MITCHELL COUNTY BOARD OF ELECTIONS	11 N MITCHELL AVE	ROOM 108	BAKERSVILLE, NC 28705	http://maps.google.com/?q=11+N+MITCHELL+AVE+BAKERSVILLE,+NC+28705	Same as Physical Address			828-688-3101		828-688-1651	https://www.mitchellcounty.org/departments/elections-board/	M-F (8:00-5:00)	ROYCENE JONES
62	MONTGOMERY	MONTGOMERY COUNTY BOARD OF ELECTIONS	327 NORTH MAIN STREET		TROY, NC 27371	http://maps.google.com/?q=327+NORTH+MAIN+STREET+TROY,+NC+27371	PO BOX 607		TROY, NC 27371	910-572-2024		910-576-2118	http://www.montgomerycountync.com/departments/board-of-elections	M-F (8:00-5:00)	RHONDA JOHNSON
63	MOORE	MOORE COUNTY BOARD OF ELECTIONS	700 PINEHURST AVENUE		CARTHAGE, NC 28327	http://maps.google.com/?q=700+PINEHURST+AVENUE+CARTHAGE,+NC+28327	POST OFFICE BOX 787		CARTHAGE, NC 28327	910-947-3868		910-947-2389	http://www.moorecountync.gov/index.php/mnu-elect	M-F (8:00-5:00)	GLENDA CLENDENIN
64	NASH	NASH COUNTY BOARD OF ELECTIONS	1006 EASTERN AVENUE, RM 109		NASHVILLE, NC 27856	http://maps.google.com/?q=1006+EASTERN+AVENUE,+RM+109+NASHVILLE,+NC+27856	PO BOX 305		NASHVILLE, NC 27856	252-459-1350		252-459-1371	http://www.nashcountyboe.com/	M-F (8:00-5:00)	JOHN KEARNEY
65	NEW HANOVER	NEW HANOVER COUNTY BOARD OF ELECTIONS	230 GOVERNMENT CENTER DR., SUITE 38		WILMINGTON, NC 28403	http://maps.google.com/?q=230+GOVERNMENT+CENTER+DR.,+SUITE+38+WILMINGTON,+NC+28403	Same as Physical Address			910-798-7330		910-798-7295	http://www.nhcvote.com	M-F (8:00-5:00)	RAE HUNTER-HAVENS
66	NORTHAMPTON	NORTHAMPTON COUNTY BOARD OF ELECTIONS	9495 NC HWY 305, JW FAISON ADMIN BLDG		JACKSON, NC 27845	http://maps.google.com/?q=9495+NC+HWY+305,+JW+FAISON+ADMIN+BLDG+JACKSON,+NC+27845	PO BOX 603		JACKSON, NC 27845	252-534-5681	679	252-534-1202	http://www.northamptonnc.com/government/board_of_elections/	M-F (8:30-12:30 -1:00-5:00)	TANESHIA MANGUM
67	ONSLOW	ONSLOW COUNTY BOARD OF ELECTIONS	246 GEORGETOWN RD.		JACKSONVILLE, NC 28540	http://maps.google.com/?q=246+GEORGETOWN+RD.+JACKSONVILLE,+NC+28540	Same as Physical Address			910-455-4484		910-455-1390	http://www.onslowcountync.gov/373/Board-of-Elections	M-F (8:00-5:00)	ROSE WHITEHURST
68	ORANGE	ORANGE COUNTY BOARD OF ELECTIONS	208 S. CAMERON ST		HILLSBOROUGH, NC 27278	http://maps.google.com/?q=208+S.+CAMERON+ST+HILLSBOROUGH,+NC+27278	PO BOX 220		HILLSBOROUGH, NC 27278	919-245-2350		919-644-3318	http://orangecountync.gov/1720/Elections	M-F (8:00-5:00)	RACHEL BOYCE RAPER
69	PAMLICO	PAMLICO COUNTY BOARD OF ELECTIONS	202 MAIN STREET		BAYBORO, NC 28515	http://maps.google.com/?q=202+MAIN+STREET+BAYBORO,+NC+28515	PO BOX 464		BAYBORO, NC 28515	252-745-4821		252-745-4114	http://www.pamlicocounty.org/board-of-elections.aspx	M-F (8:00-5:00)	LISA BENNETT
70	PASQUOTANK	PASQUOTANK COUNTY BOARD OF ELECTIONS	1409 PARKVIEW DR.		ELIZABETH CITY, NC 27909	http://maps.google.com/?q=1409+PARKVIEW+DR.+ELIZABETH+CITY,+NC+27909	PO BOX 1797		ELIZABETH CITY, NC 27906	252-335-1739		252-331-2560	https://www.pasquotankcountync.org/elections/	M-F (8:00-5:00)	KELLI PRICE
71	PENDER	PENDER COUNTY BOARD OF ELECTIONS	807 S. WALKER ST.		BURGAW, NC 28425	http://maps.google.com/?q=807+S.+WALKER+ST.+BURGAW,+NC+28425	PO BOX 1232		BURGAW, NC 28425	910-259-1220		910-259-1269	http://www.pendercountync.gov/boe/	M-F (8:00-5:00)	LILLIAN H STAINBACK
72	PERQUIMANS	PERQUIMANS COUNTY BOARD OF ELECTIONS	601A S EDENTON RD ST		HERTFORD, NC 27944	http://maps.google.com/?q=601A+S+EDENTON+RD+ST+HERTFORD,+NC+27944	PO BOX 336		HERTFORD, NC 27944	252-426-5598		252-426-5068	http://www.co.perquimans.nc.us/departments/board-of-elections.html	8:00 A.M.-5:00P.M.	HOLLY HUNTER
