Library System	Branch Name	Library Type	Street Address	City	ZIP Code	County	Website	Phone Number	Director	Branch Head	Building Square Feet	FTE Staff	Hours
Albemarle Regional Library	Sallie H. Jenkins Memorial Library	Public	302 Broad St	Aulander	27805	Bertie	http://www.arlnc.org/	(252) 345-4461	Jennifer Patterson	Ellen Chauvin	"1,891"	0.63	Mon: 11 am-5 pm  Tue: 11 am-5 pm  Wed: 11 am-5 pm  Thu: 11 am-5 pm 
Alexander County Library	Alexander County Library (Main)	Public	77 1st Ave Sw	Taylorsville	28681	Alexander	http://alexanderlibrary.org/	(828) 632-4058	Laura Crooks	Laura Crooks	"7,200"	7.70	Mon: 9 am-7 pm  Tue: 9 am-6 pm  Wed: 9 am-6 pm  Thu: 9 am-7 pm  Fri: 9 am-6 pm  Sat: 9 am-3 pm
Alexander County Library	Bethlehem Branch Library	Public	45 Rink Dam Rd	Hickory	28601	Alexander	http://alexanderlibrary.org/	(828) 495-8753	Laura Crooks	Glenda Leonard	"3,420"	7.63	Mon: 9 am-2 pm  Tue: 12 pm-7 pm  Wed: 9 am-2 pm  Thu: 12 pm-7 pm  Fri: 12 pm-5 pm
Alexander County Library	Stony Point Branch Library	Public	431 Ruritan Park Rd	Stony Point	28678	Alexander	http://alexanderlibrary.org/	(828) 632-4058	Laura Crooks	Gloria Hamilton-Parsons	"2,500"	0.63	Mon: 9 am-1 pm Tue: 3 pm-7 pm Wed: 9 am-1 pm Thu: 3 pm-7 pm
Appalachian Regional Library	Ashe County Library	Public	148 Library Dr	West Jefferson	28694	Ashe	http://www.arlibrary.org/	(336) 846-2041	Jane Blackburn	Suzanne Moore	"27,958"	12.25	Mon: 9 am-7 pm  Tue: 9 am-7 pm  Wed: 9 am-7 pm  Thu: 9 am-7 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm
Appalachian Regional Library	Traphill Branch Library	Public	6938 Traphill Rd	Traphill	28685	Wilkes	http://www.arlibrary.org/	(336) 957-2534	Jane Blackburn	Linda Pranger	"2,240"	0.50	Tue: 10 am-1 pm; 1:30 pm-6 pm  Thu: 10 am-1 pm; 1:30 pm-6 pm  Sat: (2nd & 4th) 10 am-3 pm
Appalachian Regional Library	Watauga County Public Library	Public	140 Queen St	Boone	28607	Watauga	http://www.arlibrary.org/	(828) 264-8784	Jane Blackburn	Monica Caruso	"16,043"	14.50	Mon: 9 am-7 pm  Tue: 9 am-7 pm  Wed: 9 am-7 pm  Thu: 9 am-7 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm
Appalachian Regional Library	Western Watauga Branch Library	Public	1085 Old US Hwy 421	Sugar Grove	28679	Watauga	http://www.arlibrary.org/	(828) 297-5515	Jane Blackburn	Jackie Cornette	860	1.50	Mon: 10 am-5 pm  Tue: 10 am-7 pm  Wed: 10 am-5 pm  Thu: 10 am-7 pm
Appalachian Regional Library	Wilkes County Library	Public	215 10th St	North Wilkesboro	28659	Wilkes	http://www.arlibrary.org/	(336) 838-2818	Jane Blackburn	Aimee James	"24,000"	13.53	Mon: 9 am-7 pm  Tue: 9 am-7 pm  Wed: 9 am-7 pm  Thu: 9 am-7 pm  Fri: 9 am-5 pm  Sat: 9 am-5 pm
Avery-Mitchell-Yancey Regional Library	Avery County Library	Public	150 Library Pl	Newland	28657	Avery	http://www.amyregionallibrary.org/	(828) 733-9393	Amber Westall Briggs	Phyllis Burroughs	"11,206"	2.00	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-5 pm  Thu: 9 am-5 pm  Fri: 9 am-5 pm  Sat: 10 am-1 pm
Avery-Mitchell-Yancey Regional Library	Avery-Mitchell-Yancey Regional Library Bookmobile	Public	289 Burnsville School Rd	Burnsville	28714	Yancey	http://www.amyregionallibrary.org/	(828) 682-4476	Amber Westall Briggs	Sylvia Archer	N/A	1.00	Varies
Avery-Mitchell-Yancey Regional Library	Mitchell County Library	Public	18 N Mitchell Ave	Bakersville	28705	Mitchell	http://www.amyregionallibrary.org/	(828) 688-2511	Amber Westall Briggs	Cynthia Burleson	"4,800"	2.00	Mon: 9 am-5 pm  Tue: 9 am-8 pm  Wed: 9 am-5 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 9 am-12 pm  
Avery-Mitchell-Yancey Regional Library	Spruce Pine Public Library	Public	142 Walnut Ave	Spruce Pine	28777	Mitchell	http://www.amyregionallibrary.org/	(828) 765-4673	Amber Westall Briggs	Cathy Silver	"7,106"	2.00	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-5 pm  Thu: 9 am-5 pm  Fri: 9 am-5 pm  Sat: 10 am-12 pm  
Avery-Mitchell-Yancey Regional Library	Yancey County Library	Public	321 School Cir	Burnsville	28714	Yancey	http://www.amyregionallibrary.org/	(828) 682-2600	Amber Westall Briggs	Melanie Stallings	"5,400"	3.00	Mon: 9 am-5 pm  Tue: 9 am-8 pm  Wed: 9 am-5 pm  Thu: 9 am-8 pm  Fri: 9 am-5 pm  Sat: 10 am-1 pm  
Beaufort-Hyde-Martin Regional Library	Bath Community Library	Public	102 S Harding St	Bath	27808	Beaufort	https://bhmlib.org/	(252) 923-6371	Amanda Corbett	Ann Wiggins	"2,288"	1.53	Mon: 10 am-6 pm Tue: 10 am-6 pm Wed: 10 am-6 pm Thu: 10 am-6 pm Fri: 10 am-6 pm Sat: 9 am-12 pm
Beaufort-Hyde-Martin Regional Library	BHM Regional Library	Public	158 N Market St	Washington	27889	Beaufort	https://bhmlib.org/	(252) 946-6401	Amanda Corbett	Amanda Corbett	"3,366"	6.45	Mon: 9 am-5 pm  Tue: 9 am-5 pm  Wed: 9 am-5 pm  Thu: 9 am-5 pm  Fri: 9 am-5 pm 
Beaufort-Hyde-Martin Regional Library	Belhaven Public Library	Public	333 E Main St	Belhaven	27810	Beaufort	https://bhmlib.org/	(252) 943-2993	Amanda Corbett	Pat Saunders	"3,600"	2.15	Mon: 9:30 am-5:30 pm  Tue: 9:30 am-5:30 pm  Wed: 9:30 am-5:30 pm  Thu: 9:30 am-5:30 pm  Fri: 9:30 am-5:30 pm  Sat: 9:30 am -1 pm
Beaufort-Hyde-Martin Regional Library	Hazel W. Guilford Memorial Library	Public	524 Main St	Aurora	27806	Beaufort	https://bhmlib.org/	(252) 322-5046	Amanda Corbett	Robina Norman	"2,340"	1.50	Mon: 9 am-5 pm  Tue: 9 am-5 pm  Wed: 9 am-5 pm  Thu: 11 am-7 pm  Fri: 9 am-5 pm  Sat: 9 am-12 pm
Beaufort-Hyde-Martin Regional Library	Martin Memorial Library	Public	200 N Smithwick St	Williamston	27892	Martin	https://bhmlib.org/	(252) 792-7476	Amanda Corbett	Ann Phelps	"9,331"	3.70	Mon: 9:30 am-5:30 pm  Tue: 9:30 am-5:30 pm  Wed: 9:30 am-5:30 pm  Thu: 9:30 am-8 pm  Fri: 9:30 am-5:30 pm  Sat: 9:30 am-1 pm  Sun: 2 pm-5 pm
Beaufort-Hyde-Martin Regional Library	Ocracoke Branch Library	Public	225 Back Rd	Ocracoke	27960	Hyde	https://bhmlib.org/	(252) 928-4436	Amanda Corbett	Sundae Horn	"2,100"	0.65	Mon: 3 pm-7 pm  Tue: 3 pm-7 pm  Wed: 3 pm-8 pm  Thu: 3 pm-7 pm  Fri: 3 pm-7 pm  Sat: 9 am-1 pm 
Beaufort-Hyde-Martin Regional Library	Robersonville Public Library	Public	119 S Main St	Robersonville	27871	Martin	https://bhmlib.org/	(252) 795-3591	Amanda Corbett	Sallie Schautteet	"1,737"	1.80	Mon: 9 am-5 pm  Tue: 9 am-5 pm  Wed: 9 am-5 pm  Thu: 9 am-5 pm  Fri: 9 am-5 pm  Sat: 9 am-12 pm
Beaufort-Hyde-Martin Regional Library	Hyde County Public Library	Public	33460 US Hwy 264	Engelhard	27824	Hyde	https://bhmlib.org/	(252) 925-2222	Amanda Corbett	Gail Blake	"7,200"	0.60	Mon: 9:30 am-12:30 pm; 1 pm-5 pm Tue: 9:30 am-12:30 pm; 1 pm-5 pm Wed: 9:30 am-12:30 pm; 1 pm-5 pm Thu: 9:30 am-12:30 pm; 1 pm-5 pm Sat: 10 am-12:30 pm; 1 pm-4 pm
Bladen County Public Library	Bladen County Public Library (Main)	Public	111 N Cypress St	Elizabethtown	28337	Bladen	http://bladenco.libguides.com/home	(910) 862-6990	Kelsey Edwards	Kelsey Edwards	"12,066"	7.26	Mon: 8:30 am-6 pm  Tue: 8:30 am-8:30 pm  Wed: 8:30 am-6 pm  Thu: 8:30 am-8:30 pm  Fri: 8:30 am-6 pm  Sat: 8:30 am-12:30 pm
Bladen County Public Library	Bridger Memorial Library	Public	313 S Main St	Bladenboro	28320	Bladen	http://bladenco.libguides.com/home	(910) 863-4586	Kelsey Edwards	Kayla Parker	"1,350"	1.00	Mon: 9 am-12 pm; 1 pm-7 pm  Tue: 9 am-12 pm; 1 pm-6 pm  Wed: 1 pm-6 pm  Thu: 1 pm-6 pm  Fri: 1 pm-6 pm  
Bladen County Public Library	Bladen County Public Library Bookmobile	Public	111 N Cypress St	Elizabethtown	28337	Bladen	http://bladenco.libguides.com/home	(910) 862-6990	Kelsey Edwards	Cynthia Dowless	256	1.00	Varies
Bladen County Public Library	Clarkton Public Library	Public	10413 N College St	Clarkton	28433	Bladen	http://bladenco.libguides.com/home	(910) 647-3661	Kelsey Edwards	Greta Jackson	"1,716"	1.00	Mon: 9 am-12 pm; 1 pm-6 pm  Tue: 9 am-12 pm; 1 pm-7 pm  Wed: 1 pm-6 pm  Thu: 1 pm-6 pm  Fri: 1 pm-6 pm  
Braswell Memorial Library	Braswell Memorial Public Library (Main)	Public	727 N Grace St	Rocky Mount	27804	Nash	http://braswell-library.libguides.com/home	(252) 442-1951	Catie Roche	Catherine Roche	"60,000"	25.40	Mon: 10 am-8 pm  Tue: 10 am-8 pm  Wed: 10 am-8 pm  Thu: 10 am-8 pm  Fri: 10 am-6 pm  Sat: 10 am-6 pm
Braswell Memorial Library	Wesley Privette Memorial Library	Public	6280 Main St	Bailey	27807	Nash	http://braswell-library.libguides.com/home	(252) 235-6006	Catie Roche	Gloria Sutton	756	0.45	Tue: 12:30 pm-6 pm  Wed: 12:30 pm-6 pm  Thu: 9:30 am-3 pm 
Braswell Memorial Library	Whitakers Public Library	Public	106 W Pippen St	Whitakers	27891	Nash	http://braswell-library.libguides.com/home	(252) 437-0932	Catie Roche	Gloria Sutton	"1,053"	0.45	Tue: 1 pm-6:30 pm  Wed: 1 pm-6:30 pm  Thu: 1 pm-6:30 pm 
Braswell Memorial Library	Middlesex Public Library	Public	12480 W Hanes Ave	Middlesex	27557	Nash	http://braswell-library.libguides.com/home	(252) 235-6001	Catie Roche				Mon: 11:30 am-5 pm Tue: 11:30 am-5 pm Wed: 11:30 am-5 pm Thu: 11:30 am-5 pm Fri: 11:30 am-5 pm
Braswell Memorial Library	Spring Hope Public Library	Public	101 N Ash St	Spring Hope	27882	Nash	http://braswell-library.libguides.com/home	(252) 478-3377	Catie Roche				Mon: 1 pm-5 pm Tue: 1 pm-5 pm Wed: 1 pm-5 pm Thu: 1 pm-5 pm Fri: 1 pm-5 pm Sat: 9 am-1 pm
Brunswick County Library	Harper Library	Public	109 W Moore St	Southport	28461	Brunswick	http://www.brunswickcountync.gov/library/	(910) 457-6237	Maurice Tate	Denise Ballard	"7,157"	3.00	Mon: 9 am-6 pm  Tue: 9 am-6 pm  Wed: 9 am-6 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm 
Brunswick County Library	Leland Branch Library	Public	487 Village Rd	Leland	28451	Brunswick	http://www.brunswickcountync.gov/library/	(910) 371-9442	Maurice Tate	Lisa Milligan	"4,750"	3.00	Mon: 9 am-6 pm  Tue: 9 am-6 pm  Wed: 9 am-6 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm   Sat: 9 am-1 pm
Brunswick County Library	"G. V. Barbee, Sr. Library"	Public	8200 E Oak Island Dr	Oak Island	28465	Brunswick	http://www.brunswickcountync.gov/library/	(910) 278-4283	Maurice Tate	Erika Dosher	"4,732"	4.00	Mon: 9 am-6 pm  Tue: 9 am-6 pm  Wed: 9 am-6 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm   Sat: 9 am-1 pm
Brunswick County Library	Rourk Branch Library	Public	5068 Main St	Shallotte	28459	Brunswick	http://www.brunswickcountync.gov/library/	(910) 754-6578	Maurice Tate	Lois Carroll	"7,217"	3.00	Mon: 9 am-6 pm  Tue: 9 am-6 pm  Wed: 9 am-6 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm   Sat: 9 am-1 pm
Brunswick County Library	Southwest Brunswick Branch Library	Public	9400 Ocean Hwy West	Carolina Shores	28467	Brunswick	http://www.brunswickcountync.gov/library/	(910) 575-0173	Maurice Tate	Christi Iffergan	"10,000"	3.50	Mon: 9 am-6 pm  Tue: 9 am-6 pm  Wed: 9 am-6 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm
Buncombe County Public Libraries	Pack Memorial Library (Main)	Public	67 Haywood St	Asheville	28801	Buncombe	https://www.buncombecounty.org/governing/depts/library/	(828) 250-4700	Jim Blanton	Jim Blanton	"56,000"	21.00	Mon: 10 am-8 pm  Tue: 10 am-8 pm  Wed: 10 am-8 pm  Thu: 10 am-8 pm  Fri: 10 am-6 pm  Sat: 10 am-5 pm
Buncombe County Public Libraries	Black Mountain Branch Library	Public	105 Dougherty St	Black Mountain	28711	Buncombe	https://www.buncombecounty.org/governing/depts/library/	(828) 250-4756	Jim Blanton	Melisa Pressley	"5,694"	3.00	Mon: 10 am-6 pm  Tue: 10 am-8 pm  Wed: 10 am-6 pm  Thu: 10 am-6 pm  Fri: 10 am-6 pm  Sat: 10 am-5 pm
Buncombe County Public Libraries	Buncombe County Law Library	Public	60 Court Plz	Asheville	28801	Buncombe	https://www.buncombecounty.org/governing/depts/library/	(828) 250-4735	Jim Blanton	Ken Miller	"3,000"	0.00	Mon: 8 am-5 pm  Tue: 8 am-5 pm  Wed: 8 am-5 pm  Thu: 8 am-5 pm  Fri: 8 am-5 pm
Buncombe County Public Libraries	East Asheville Branch Library	Public	902 Tunnel Rd	Asheville	28805	Buncombe	https://www.buncombecounty.org/governing/depts/library/	(828) 250-4738	Jim Blanton	Alexandra Duncan	"2,717"	4.00	Tue: 9 am-8 pm  Wed: 9 am-6 pm  Thu: 9 am-8 pm  Fri: 9 am-6 pm  Sat: 9 am-5 pm
Buncombe County Public Libraries	Enka Branch Library	Public	1404 Sandhill Rd	Enka	28728	Buncombe	https://www.buncombecounty.org/governing/depts/library/	(828) 250-4758	Jim Blanton	Leisa Stamey	"4,800"	4.00	Mon: 10 am-6 pm  Tue: 10 am-8 pm  Wed: 10 am-6 pm  Thu: 10 am-6 pm  Fri: 10 am-6 pm  Sat: 10 am-5 pm
Buncombe County Public Libraries	Fairview Branch Library	Public	1 Taylor Rd	Fairview	28730	Buncombe	https://www.buncombecounty.org/governing/depts/library/	(828) 250-6484	Jim Blanton	Jaime McDowell	"7,500"	4.00	Mon: 10 am-6 pm  Tue: 10 am-8 pm  Wed: 10 am-6 pm  Thu: 10 am-6 pm  Fri: 10 am-6 pm  Sat: 10 am-5 pm
Buncombe County Public Libraries	Leicester Branch Library	Public	1561 Alexander Rd	Leicester	28748	Buncombe	https://www.buncombecounty.org/governing/depts/library/	(828) 250-6480	Jim Blanton	Regina Illig	"5,500"	3.00	Mon: 10 am-6 pm  Tue: 10 am-8 pm  Wed: 10 am-6 pm  Thu: 10 am-6 pm  Fri: 10 am-6 pm  Sat: 10 am-5 pm
Buncombe County Public Libraries	North Asheville Branch Library	Public	1230 Merrimon Ave	Asheville	28804	Buncombe	https://www.buncombecounty.org/governing/depts/library/	(828) 250-4752	Jim Blanton	Julie Niwinski	"7,800"	4.00	Mon: 10 am-6 pm  Tue: 10 am-8 pm  Wed: 10 am-6 pm  Thu: 10 am-8 pm  Fri: 10 am-6 pm  Sat: 10 am-5 pm
Buncombe County Public Libraries	South Asheville Branch Library	Public	749 Fairview Rd	Asheville	28803	Buncombe	https://www.buncombecounty.org/governing/depts/library/	(828) 250-4754	Jim Blanton	Cheryl Middleton	"2,980"	2.00	Tue: 9 am-8 pm  Wed: 9 am-6 pm  Thu: 9 am-8 pm  Fri: 9 am-6 pm  Sat: 9 am-5 pm
Buncombe County Public Libraries	South Buncombe - Skyland Library	Public	260 Overlook Rd	Skyland	28776	Buncombe	https://www.buncombecounty.org/governing/depts/library/	(828) 250-6488	Jim Blanton	Anna Booraem	"7,800"	4.00	Mon: 10 am-6 pm  Tue: 10 am-8 pm  Wed: 10 am-6 pm  Thu: 10 am-6 pm  Fri: 10 am-6 pm  Sat: 10 am-5 pm
Buncombe County Public Libraries	Swannanoa Branch Library	Public	101 W Charleston St	Swannonoa	28778	Buncombe	https://www.buncombecounty.org/governing/depts/library/	(828) 250-6486	Jim Blanton	Carla Hollar	"1,212"	1.00	Tue: 10 am-8 pm  Wed: 10 am-6 pm  Thu: 10 am-6 pm  Fri: 10 am-6 pm  Sat: 10 am-2 pm
Buncombe County Public Libraries	Weaverville Library	Public	41 N Main St	Weaverville	28787	Buncombe	https://www.buncombecounty.org/governing/depts/library/	(828) 250-6482	Jim Blanton	Jill Totman	"8,000"	3.00	Mon: 10 am-6 pm  Tue: 10 am-8 pm  Wed: 10 am-6 pm  Thu: 10 am-6 pm  Fri: 10 am-6 pm  Sat: 10 am-5 pm
Buncombe County Public Libraries	West Asheville Branch Library	Public	942 Haywood Rd	Asheville	28806	Buncombe	https://www.buncombecounty.org/governing/depts/library/	(828) 250-4750	Jim Blanton	Sherry Roane	"5,800"	5.00	Mon: 10 am-6 pm  Tue: 10 am-8 pm  Wed: 10 am-6 pm  Thu: 10 am-6 pm  Fri: 10 am-6 pm  Sat: 10 am-5 pm
Burke County Public Library	Burke County Public Library (Main)	Public	204 S King St	Morganton	28655	Burke	http://www.bcpls.org/	(828) 764-9260	Jim Wilson	Jim Wilson	"18,000"	13.25	Mon: 9 am-8 pm  Tue: 9 am-6 pm  Wed: 9 am-8 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 9 am-5 pm
Burke County Public Library	C. B. Hildebrand Public Library	Public	101B Main Ave West	Hildebran	28637	Burke	http://www.bcpls.org/	(828) 764-9283	Jim Wilson	Judy Annas	"2,000"	2.20	Mon: 8 am-8 pm  Tue: 8 am-6 pm  Wed: 8 am-6 pm  Thu: 8 am-6 pm  Fri: 8 am-6 pm  Sat: 9 am-5 pm
Burke County Public Library	Valdese Public Library	Public	213 Saint Germain Ave Se	Valdese	28690	Burke	http://www.bcpls.org/	(828) 874-2421	Jim Wilson	Page Andersen	"6,200"	5.60	Mon: 9 am-8 pm  Tue: 9 am-6 pm  Wed: 9 am-8 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 9 am-5 pm
Cabarrus County Public Library	Cabarrus County Public Library (Main)	Public	27 Union St N	Concord	28025	Cabarrus	https://www.cabarruscounty.us/departments/library	(704) 920-2050	Emery Ortiz	Kyle White	"26,280"	25.45	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 10 am-6 pm  Sat: 10 am-6 pm 
Cabarrus County Public Library	Kannapolis Branch Library	Public	850 Mountain St	Kannapolis	28081	Cabarrus	https://www.cabarruscounty.us/departments/library	(704) 920-1180	Emery Ortiz	Christie Reale	"15,000"	12.00	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 10 am-6 pm  Sat: 10 am-6 pm 
Cabarrus County Public Library	Mt. Pleasant Branch Library	Public	8556 Cook St	Mount Pleasant	28124	Cabarrus	https://www.cabarruscounty.us/departments/library	(704) 920-2202	Emery Ortiz	Amy Kendrick	"3,780"	4.25	Mon: 9 am-7 pm  Tue: 9 am-7 pm  Wed: 9 am-7 pm  Thu: 9 am-7 pm  Fri: 10 am-5 pm  Sat: 10 am-5 pm 
Cabarrus County Public Library	Harrisburg Library	Public	201 Sims Pkwy	Harrisburg	28075	Cabarrus	https://www.cabarruscounty.us/departments/library	(704) 920-2080	Emery Ortiz	Davey Beauchamp	"10,000"	6.80	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 10 am-6 pm  Sat: 10 am-6 pm 
Caldwell County Public Library	Caldwell County Public Library (Main)	Public	120 Hospital Ave	Lenoir	28645	Caldwell	http://ccpl.libguides.com/mainpage	(828) 757-1270	Lesley Mason	Lesley Mason	"52,600"	13.00	Mon: 9 am-8 pm Tue: 9 am-8 pm Wed: 9 am-5:30 pm Thu: 9 am-8 pm Fri: 9 am-5:30 pm Sat: 9 am-5:30 pm
Caldwell County Public Library	Granite Falls Branch Library	Public	24 S Main St	Granite Falls	28630	Caldwell	http://ccpl.libguides.com/mainpage	(828) 396-7703	Lesley Mason	Susan Clark	"2,864"	3.00	Mon: 9 am-5:30 pm Tue: 9 am-5:30 pm Wed: 9 am-5:30 pm Thu: 11:30 am-8 pm Fri: 9 am-5:30 pm Sat: 9 am-5:30 pm
Caldwell County Public Library	Hudson Branch Library	Public	530 Central St	Hudson	28638	Caldwell	http://ccpl.libguides.com/mainpage	(828) 728-4207	Lesley Mason	Susan Clark	"2,850"	3.00	Mon: 9 am-5:30 pm Tue: 11:30 am-8 pm Wed: 9 am-5:30 pm Thu: 9 am-5:30 pm Fri: 9 am-5:30 pm
Caswell County Public Library	Gunn Memorial Public Library	Public	118 W Main St	Yanceyville	27379	Caswell	http://www.caswellcountync.gov/pview.aspx?id=9385&catID=600	(336) 694-6241	Rhonda Griffin	Rhonda H. Griffin	"7,584"	6.02	Mon: 9 am-7 pm  Tue: 9 am-6 pm  Wed: 9 am-6 pm  Thu: 9 am-7 pm  Fri: 9 am-5 pm  Sat: 10 am-1 pm
Catawba County Library	Conover Branch Library	Public	403 Conover Station Se	Conover	28613	Catawba	https://www.catawbacountync.gov/county-services/library/	(828) 466-5108	Suzanne White	Stephanie Abbott	"3,200"	2.00	Tue: 12 pm-8 pm  Wed: 9 am-6 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 9 am-2 pm
Catawba County Library	Catawba County Library (Main)	Public	115 W C St	Newton	28658	Catawba	https://www.catawbacountync.gov/county-services/library/	(828) 465-8664	Suzanne White	Siobhan Loendorf	"30,000"	16.50	Mon: 9 am-8 pm  Tue: 9 am-8 pm  Wed: 9 am-8 pm  Thu: 9 am-8 pm  Fri: 9 am-6 pm  Sat: 9 am-6 pm
Catawba County Library	Maiden Branch Library	Public	11 S A Ave	Maiden	28650	Catawba	https://www.catawbacountync.gov/county-services/library/	(828) 428-2712	Suzanne White	Phillip Overholtzer	"2,800"	1.50	Tue: 12 pm-8 pm  Wed: 9 am-6 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 9 am-2 pm
Catawba County Library	Sherrills Ford-Terrell Branch	Public	9154 Sherrills Ford Rd	Terrell	28682	Catawba	https://www.catawbacountync.gov/county-services/library/	(828) 466-6827	Suzanne White	Jenny Gerami-Markham	"2,675"	5.00	Mon: 12 pm-8 pm  Tue: 12 pm-8 pm  Wed: 9 am-6 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 9 am-6 pm
Catawba County Library	Southwest Branch Library	Public	2944 S NC 127 Hwy	Hickory	28602	Catawba	https://www.catawbacountync.gov/county-services/library/	(828) 466-6818	Suzanne White	April Green	"7,965"	3.00	Mon: 12 pm-8 pm  Tue: 12 pm-8 pm  Wed: 9 am-6 pm  Thu: 9 am-6 pm  Fri: 9 am-6 pm  Sat: 9 am-2 pm
