Place Name	addr1	addr_sup	city	zip	lat	long	Site Type
NORTHAMPTON COUNTY BOARD OF ELECTIONS	9495 NC HWY 305	JW FAISON ADMIN BLDG	JACKSON	27845	36.412021	-77.436499	County Board of Elections
PERQUIMANS COUNTY BOARD OF ELECTIONS	601 S EDENTON RD ST	A	HERTFORD	27944	36.178626	-76.474406	County Board of Elections
SCOTLAND COUNTY BOARD OF ELECTIONS	231 EAST CRONLY ST	SUITE 305	LAURINBURG	28352	34.7746378	-79.459863	County Board of Elections
STANLY COUNTY BOARD OF ELECTIONS	1000 N FIRST STREET	SUITE 16	ALBEMARLE	28001	35.3658452	-80.1976897	County Board of Elections
SWAIN COUNTY BOARD OF ELECTIONS	1422 HWY 19 S		BRYSON CITY	28713	35.415317	-83.4651729	County Board of Elections
UNION COUNTY BOARD OF ELECTIONS	316 EAST WINDSOR ST	B	MONROE	28112	34.9808926	-80.5460153	County Board of Elections
VANCE COUNTY BOARD OF ELECTIONS	300 S. GARNETT ST	STE C	HENDERSON	27536	36.325955	-78.4049301	County Board of Elections
WARREN COUNTY BOARD OF ELECTIONS	309 N MAIN STREET	ANNEX BUILDING	WARRENTON	27589	36.4030717	-78.1539304	County Board of Elections
WATAUGA COUNTY BOARD OF ELECTIONS	842 WEST KING STREET	STE. 6	BOONE	28607	36.2207131	-81.6864508	County Board of Elections
WILKES COUNTY BOARD OF ELECTIONS	110 NORTH STREET,	RM 315	WILKESBORO	28697	36.1492143	-81.153474	County Board of Elections
YADKIN COUNTY BOARD OF ELECTIONS	213 EAST ELM STREET	ROOM 100	YADKINVILLE	27055	36.1342088	-80.65796569999999	County Board of Elections
YANCEY COUNTY BOARD OF ELECTIONS	30 EAST US HWY 19E BYPASS	SUITE 2	BURNSVILLE	28714	35.9160628	-82.2808732	County Board of Elections
ALAMANCE COUNTY BOARD OF ELECTIONS	115 SOUTH MAPLE STREET		GRAHAM	27253	36.0682388	-79.4025561	County Board of Elections
ALEXANDER COUNTY BOARD OF ELECTIONS	370 1ST AVENUE SW		TAYLORSVILLE	28681	35.9198757	-81.1806158	County Board of Elections
ANSON COUNTY BOARD OF ELECTIONS	402 MORVEN ROAD		WADESBORO	28170	34.9622563	-80.07588620000001	County Board of Elections
BERTIE COUNTY BOARD OF ELECTIONS	210 W. WATSON ST.		WINDSOR	27983	36.0006267	-76.95298919999999	County Board of Elections
BLADEN COUNTY BOARD OF ELECTIONS	301 SOUTH CYPRESS STREET		ELIZABETHTOWN	28337	34.6263304	-78.6048043	County Board of Elections
BRUNSWICK COUNTY BOARD OF ELECTIONS	75 STAMP ACT DRIVE NE	BUILDING H	BOLIVIA	28422	34.057402	-78.164504	County Board of Elections
BUNCOMBE COUNTY BOARD OF ELECTIONS	77 MCDOWELL STREET		ASHEVILLE	28801	35.5811947	-82.5542538	County Board of Elections
CABARRUS COUNTY BOARD OF ELECTIONS	369 CHURCH ST N		CONCORD	28025	35.4202605	-80.59057949999999	County Board of Elections
CALDWELL COUNTY BOARD OF ELECTIONS	905 WEST AVENUE		LENOIR	28645	35.9141795	-81.5406586	County Board of Elections
CAMDEN COUNTY BOARD OF ELECTIONS	117 NC HWY 343 N		CAMDEN	27921	36.329205	-76.174975	County Board of Elections
CASWELL COUNTY BOARD OF ELECTIONS	140 MAIN STREET		YANCEYVILLE	27379	36.4043714	-79.3372732	County Board of Elections
CATAWBA COUNTY BOARD OF ELECTIONS	25 GOVERNMENT DRIVE		NEWTON	28658	35.6635327	-81.2312676	County Board of Elections
CHEROKEE COUNTY BOARD OF ELECTIONS	40 PEACHTREE STREET		MURPHY	28906	35.087131	-84.033986	County Board of Elections
CHOWAN COUNTY BOARD OF ELECTIONS	730 N GRANVILLE STREET	SUITE D	EDENTON	27932	36.0693771	-76.6078806	County Board of Elections
CLAY COUNTY BOARD OF ELECTIONS	54 CHURCH STREET		HAYESVILLE	28904	35.0460545	-83.8175861	County Board of Elections
CLEVELAND COUNTY BOARD OF ELECTIONS	215 PATTON DR.		SHELBY	28150	35.2895924	-81.5345081	County Board of Elections
COLUMBUS COUNTY BOARD OF ELECTIONS	2322 JAMES B. WHITE HWY. N		WHITEVILLE	28472	34.369797	-78.71459	County Board of Elections
CRAVEN COUNTY BOARD OF ELECTIONS	406 CRAVEN STREET		NEW BERN	28560	35.108227	-77.0373312	County Board of Elections
CURRITUCK COUNTY BOARD OF ELECTIONS	2811 CARATOKE HIGHWAY		CURRITUCK	27929	36.4526128	-76.0227839	County Board of Elections
DARE COUNTY BOARD OF ELECTIONS	954 MARSHALL COLLINS DRIVE		MANTEO	27954	35.8875452	-75.6717917	County Board of Elections
DUPLIN COUNTY BOARD OF ELECTIONS	160 MALLARD STREET		KENANSVILLE	28349	34.957914	-77.973863	County Board of Elections
DURHAM COUNTY BOARD OF ELECTIONS	201 N. ROXBORO ST		DURHAM	27701	35.9946801	-78.8979248	County Board of Elections
FORSYTH COUNTY BOARD OF ELECTIONS	201 N. CHESTNUT STREET		WINSTON SALEM	27101	36.0972476	-80.2413746	County Board of Elections
FRANKLIN COUNTY BOARD OF ELECTIONS	107 INDUSTRIAL DRIVE		LOUISBURG	27549	36.1044689	-78.2894343	County Board of Elections
GATES COUNTY BOARD OF ELECTIONS	931 MAIN ST		GATESVILLE	27938	36.4183743	-76.75761589999999	County Board of Elections
GRAHAM COUNTY BOARD OF ELECTIONS	18 COURT STREET		ROBBINSVILLE	28771	35.323222	-83.806415	County Board of Elections
GRANVILLE COUNTY BOARD OF ELECTIONS	208 WALL STREET		OXFORD	27565	36.3092438	-78.588748	County Board of Elections
GREENE COUNTY BOARD OF ELECTIONS	110 SE FIRST STREET		SNOW HILL	28580	35.4556061	-77.6694055	County Board of Elections
HALIFAX COUNTY BOARD OF ELECTIONS	10 N. KING STREET		HALIFAX	27839	36.3297241	-77.58898429999999	County Board of Elections
HARNETT COUNTY BOARD OF ELECTIONS	308 W. DUNCAN ST		LILLINGTON	27546	35.4060324	-78.81963789999999	County Board of Elections
HAYWOOD COUNTY BOARD OF ELECTIONS	63 ELMWOOD WAY	SUITE A	WAYNESVILLE	28786	35.5184369	-82.9886683	County Board of Elections
HENDERSON COUNTY BOARD OF ELECTIONS	75 E. CENTRAL ST.		HENDERSONVILLE	28792	35.3060807	-82.4438773	County Board of Elections
HERTFORD COUNTY BOARD OF ELECTIONS	418 EVERETT ST	SUITE A	AHOSKIE	27910	36.2781387	-76.98064269999999	County Board of Elections
HOKE COUNTY BOARD OF ELECTIONS	227 N MAIN ST		RAEFORD	28376	34.9804599	-79.2245404	County Board of Elections
HYDE COUNTY BOARD OF ELECTIONS	1223 MAIN STREET		SWAN QUARTER	27885	35.420817	-76.318641	County Board of Elections
IREDELL COUNTY BOARD OF ELECTIONS	203 STOCKTON ST.		STATESVILLE	28677	35.7890378	-80.88749969999999	County Board of Elections
JACKSON COUNTY BOARD OF ELECTIONS	876 SKYLAND DRIVE	SUITE 1	SYLVA	28779	35.3876924	-83.2091873	County Board of Elections
JOHNSTON COUNTY BOARD OF ELECTIONS	205 S. SECOND ST.		SMITHFIELD	27577	35.5101131	-78.3482427	County Board of Elections
MACON COUNTY BOARD OF ELECTIONS	5 W MAIN ST	FLOOR 1	FRANKLIN	28734	35.182043	-83.38169340000002	County Board of Elections
MCDOWELL COUNTY BOARD OF ELECTIONS	60 E. COURT ST		MARION	28752	35.6839474	-82.0082269	County Board of Elections
MITCHELL COUNTY BOARD OF ELECTIONS	11 N MITCHELL AVE	ROOM 108	BAKERSVILLE	28705	36.015447	-82.1583813	County Board of Elections
MONTGOMERY COUNTY BOARD OF ELECTIONS	327 NORTH MAIN STREET		TROY	27371	35.361757	-79.8947249	County Board of Elections
MOORE COUNTY BOARD OF ELECTIONS	700 PINEHURST AVENUE		CARTHAGE	28327	35.3371924	-79.4152427	County Board of Elections
ONSLOW COUNTY BOARD OF ELECTIONS	246 GEORGETOWN RD.		JACKSONVILLE	28540	34.742454	-77.447574	County Board of Elections
ORANGE COUNTY BOARD OF ELECTIONS	208 S. CAMERON ST		HILLSBOROUGH	27278	36.0733485	-79.0966753	County Board of Elections
PAMLICO COUNTY BOARD OF ELECTIONS	202 MAIN STREET		BAYBORO	28515	35.143263	-76.77093719999999	County Board of Elections
PASQUOTANK COUNTY BOARD OF ELECTIONS	1409 PARKVIEW DR.		ELIZABETH CITY	27909	36.2841411	-76.2073345	County Board of Elections
PENDER COUNTY BOARD OF ELECTIONS	807 S. WALKER ST.		BURGAW	28425	34.5438679	-77.9153396	County Board of Elections
PERSON COUNTY BOARD OF ELECTIONS	331 SOUTH MORGAN STREET		ROXBORO	27573	36.3960167	-78.9941692	County Board of Elections
PITT COUNTY BOARD OF ELECTIONS	1717 WEST 5TH STREET		GREENVILLE	27834	35.6112291	-77.3982431	County Board of Elections
POLK COUNTY BOARD OF ELECTIONS	40 COURTHOUSE ST		COLUMBUS	28722	35.251583	-82.19827599999999	County Board of Elections
RANDOLPH COUNTY BOARD OF ELECTIONS	158 WORTH STREET	SHAW BUILDING	ASHEBORO	27203	35.7055558	-79.8127336	County Board of Elections
RICHMOND COUNTY BOARD OF ELECTIONS	221 S. HANCOCK ST		ROCKINGHAM	28379	34.9374173	-79.7730613	County Board of Elections
ROBESON COUNTY BOARD OF ELECTIONS	800 N. WALNUT STREET		LUMBERTON	28358	34.6227539	-79.0056278	County Board of Elections
ROCKINGHAM COUNTY BOARD OF ELECTIONS	240 CHEROKEE CAMP RD.		REIDSVILLE	27320	36.39347	-79.74991700000001	County Board of Elections
ROWAN COUNTY BOARD OF ELECTIONS	1935 JAKE ALEXANDER BLVD W	SUITE D10	SALISBURY	28147	35.6915509	-80.51519239999999	County Board of Elections
RUTHERFORD COUNTY BOARD OF ELECTIONS	298 FAIRGROUND ROAD		SPINDALE	28160	35.347036	-81.90810599999999	County Board of Elections
SAMPSON COUNTY BOARD OF ELECTIONS	120 COUNTY COMPLEX ROAD	SUITE 110	CLINTON	28328	34.9788852	-78.29467	County Board of Elections
STOKES COUNTY BOARD OF ELECTIONS	1012 MAIN STREET		DANBURY	27016	36.4135087	-80.21635839999999	County Board of Elections
SURRY COUNTY BOARD OF ELECTIONS	915 E. ATKINS STREET		DOBSON	27017	36.3920646	-80.7063605	County Board of Elections
TRANSYLVANIA COUNTY BOARD OF ELECTIONS	150 SOUTH GASTON STREET	SUITE A	BREVARD	28712	35.2313583	-82.73485079999999	County Board of Elections
TYRRELL COUNTY BOARD OF ELECTIONS	403 MAIN STREET		COLUMBIA	27925	35.9175508	-76.2518722	County Board of Elections
WAKE COUNTY BOARD OF ELECTIONS	337 S SALISBURY STREET		RALEIGH	27601	35.7758854	-78.6400067	County Board of Elections
WASHINGTON COUNTY BOARD OF ELECTIONS	116 ADAMS ST		PLYMOUTH	27962	35.8672303	-76.7489678	County Board of Elections
WAYNE COUNTY BOARD OF ELECTIONS	309 E. CHESTNUT ST.		GOLDSBORO	27530	35.380796	-77.9934705	County Board of Elections
WILSON COUNTY BOARD OF ELECTIONS	112 DOUGLAS ST. EAST		WILSON	27893	35.7245015	-77.9082868	County Board of Elections
Graham Driver License Office	111 East Crescent Square Drive		Graham	27253	36.0549006	-79.3983141	DMV
Taylorsville Driver License Office	2390 NC Highway 90 E		Taylorsville	28681	35.9154291	-81.1362046	DMV
Blue Ridge Business Development Center Driver License Office	115 Atwood St	Suite 508	Sparta	28675	36.51366	-81.11907	DMV
Washington Driver License Office	1821 Carolina Avenue (U.S. Highway 17 N)		Washington	27889	35.573632	-77.064925	DMV
Newton Driver License Office	1033 Smyre Farm Road		Newton	28658	35.629737	-81.220523	DMV
Siler City Driver License Office	1103 North 2nd Avenue		Siler City	27344	35.734124	-79.466881	DMV
Shelby Driver License Office	1914 East Dixon Boulevard (US 74 Bypass)		Shelby	28152	35.2665452	-81.4825114	DMV
Mobile Unit at the Fort Bragg Soldier Support Center	2843 Normandy Drive		Fort Bragg	28307	35.1386719	-79.0006252	DMV
Mobile Unit at the Hatteras Civic Center	57709 NC Highway 12		Hatteras	27943	35.2191296	-75.6900782	DMV
Thomasville Driver License Office	1033 Randolph Street	Suite 16	Thomasville	27360	35.865568	-80.070907	DMV
Mocksville Driver License Office	161 Poplar Street	Suite 101	Mocksville	27028	35.8987753	-80.5561553	DMV
Shops of Hope Valley Shopping Center Driver License Office	3825 South Roxboro Street	Suite 119	Durham	27713	35.9475799	-78.9220051	DMV
North Main Crossing Driver License Office	810 North Main Street	A	Kernersville	27284	36.129315	-80.0590069	DMV
Civil Preparedness Building Driver License Office	3144 Highway 401 Business		Raeford	28376	34.996219	-79.183834	DMV
Design Center Driver License Office	533 Patterson Ave	Suite 100	Mooresville	28115	35.592263	-80.806274	DMV
Skyland Service Center Driver License Office	876 Skyland Drive	Suite 2	Sylva	28779	35.388727	-83.207812	DMV
Mobile Unit at the Civic Center	832 NC Highway 58		Trenton	28585	35.0786633	-77.4041675	DMV
Martin County Government Center Driver License Office	305 E MAIN ST	STE 116	WILLIAMSTON	27892-2566	35.856616	-77.052298	DMV
East Charlotte Driver License Office	6635 Executive Circle	Suite 130	Charlotte	28212	35.204432	-80.731043	DMV
South Charlotte Driver License Office	201 West Arrowood Road	H	Charlotte	28217	35.133849	-80.893405	DMV
Wilmington North Driver License Office	1 Station Road		Wilmington	28405	34.258574	-77.830516	DMV
South Square Plaza Driver License Office	2390 CAROLINA BEACH RD	STE 104	WILMINGTON	28401-7629	34.195909	-77.936872	DMV
Carrboro Plaza Shopping Center Driver License Office	104 NC Highway 54	Suite GG	Carrboro	27510	35.9164975	-79.0945511	DMV
Greenville Square Driver License Office	703 SE Greenville Blvd	Unit #124	Greenville	27858	35.589186	-77.370617	DMV
Brevard Driver License Office	50 COMMERCE ST	STE 4	BREVARD	28712-4692	35.240824	-82.735221	DMV
Henderson Driver License Office	1080 Eastern Boulevard		Henderson	27536	36.325965	-78.382194	DMV
Spring Forest Pavilion Driver License Office	2431 Spring Forest Road	Unit 101	Raleigh	27615	35.86035	-78.59846	DMV
Boone Driver License Office	4469 BAMBOO RD	STE 103	BOONE	28607-6555	36.205642	-81.622937	DMV
Polkton Driver License Office	5920 Highway 74 W.		Polkton	28135	34.9900203	-80.1571987	DMV
Ashe County Law Enforcement Center Driver License Office	140 Government Circle		Jefferson	28640	36.41878	-81.458993	DMV
Newland Town Hall Driver License Office	301 Cranberry Street		Newland	28657	36.089666	-81.928203	DMV
Elizabethtown Driver License Office	197 S PINE ST		ELIZABETHTOWN	28337-9162	34.630515	-78.608691	DMV
Shallotte Driver License Office	5298 MAIN ST		SHALLOTTE	28470-3438	33.965054	-78.395702	DMV
Mobile Unit at Fire Department Downtown Substation	111 E NASH ST		SOUTHPORT	28461-3933	33.919391	-78.018812	DMV
Asheville Driver License Office	1624 Patton Avenue		Asheville	28806	35.570658	-82.618487	DMV
Morganton Driver License Office	115 Government Drive		Morganton	28655	35.718555	-81.675548	DMV
Concord Driver License Office	2192 Kannapolis Highway		Concord	28027	35.4455385	-80.6148351	DMV
Hudson Driver License Office	309 Pine Mountain Road		Hudson	28638	35.8459328	-81.479913	DMV
Morehead City Driver License Office	5347 US 70 W.		Morehead City	28557	34.734685	-76.7912562	DMV
Yanceyville Driver License Office	958 Fire Tower Road		Yanceyville	27379	36.4208	-79.335808	DMV
Lenoir-Rhyne Plaza Driver License Office	1158 Lenoir-Rhyne Boulevard SE		Hickory	28602	35.7170445	-81.3139905	DMV
Andrews Driver License Office	1440 Main St.		Andrews	28901	35.201972	-83.817793	DMV
Edenton Driver License Office	307 W FREEMASON ST		EDENTON	27932-1878	36.0676553	-76.6061839	DMV
Mobile Unit at Clay County Social Services	1 Riverside Circle		Hayesville	28904	35.0468533	-83.8162614	DMV
Whiteville Driver License Office	917 Washington Street		Whiteville	28472	34.336137	-78.722669	DMV
Craven County Office Building Driver License Office	300 Miller Boulevard		Havelock	28532	34.883043	-76.915932	DMV
New Bern Driver License Office	2106 Neuse Boulevard		New Bern	28560	35.11397	-77.07007	DMV
South Fayetteville Driver License Office	2439 Gillespie St.		Fayetteville	28303	35.0152675	-78.8965569	DMV
Eutaw Village Shopping Center Driver License Office	831 ELM ST		FAYETTEVILLE	28303-4151	35.075653	-78.926096	DMV
Stedman Driver License Office	4705 Clinton Road		Stedman	28312-8524	35.036356	-78.7535	DMV
Mobile Unit at the NC Cooperative Extension-Currituck County Center	120 COMMUNITY WAY		BARCO	27917-9559	36.3911285	-76.0123048	DMV
Nags Head Driver License Office	2808 S CROATAN HWY		NAGS HEAD	27959-9024	35.980144	-75.641981	DMV
Lexington Driver License Office	2314 South Main Street		Lexington	27292	35.8039439	-80.2810228	DMV
Mobile Unit at the Denton Fire Department	101 W. Newsome Avenue		Denton	27239	35.6334363	-80.1168936	DMV
Driver License Office Adjacent to The Kenansville Town Hall	133 ROUTLEDGE ST		KENANSVILLE	28349-8002	34.961863	-77.958792	DMV
East Durham Driver License Office	101 South Miami Boulevard		Durham	27703	35.987053	-78.862611	DMV
Tarboro Driver License Office	125 E Granville Street		Tarboro	27886	35.8958956	-77.5326019	DMV
Winston-Salem North Driver License Office	3637 North Patterson Avenue		Winston-Salem	27105	36.138906	-80.242609	DMV
Winston-Salem South Driver License Office	2001 Silas Creek Parkway		Winston-Salem	27103	36.070585	-80.267612	DMV
Louisburg Driver License Office	90 Tanglewood Drive		Louisburg	27549-2698	36.097456	-78.29283	DMV
Gastonia Driver License Office	2560 W FRANKLIN BLVD		GASTONIA	28052-1250	35.25961	-81.228515	DMV
Mount Holly Municipal Building Driver License Office	785 W Charlotte Avenue		Mount Holly	28120	35.3035054	-81.0271425	DMV
Mobile Unit at the Gates County Community Center	130 US HIGHWAY 158 W		GATESVILLE	27938-9437	36.446394	-76.7063815	DMV
Mobile Unit at Graham County Social Services	196 Knight Street		Robbinsville	28771	35.3281599	-83.810188	DMV
Oxford Driver License Office	100 PROVIDENCE RD		OXFORD	27565-3162	36.304996	-78.607034	DMV
Mobile Unit at the South Granville Senior Center	108 Wilton Avenue		Creedmoor	27522	36.1232952	-78.6783957	DMV
Mobile Unit at the County Office Complex Library	229 Kingold Boulevard		Snow Hill	28580	35.4527435	-77.6840043	DMV
East Greensboro Driver License Office	2527 E Market Street		Greensboro	27401	36.079311	-79.752739	DMV
West Greensboro Driver License Office	2391 Coliseum Boulevard		Greensboro	27403	36.0438889	-79.8165865	DMV
High Point Driver License Office	650 Francis Street		High Point	27263	35.938289	-79.982669	DMV
Roanoke Rapids Driver License Office	26 Three Bridges Road		Roanoke Rapids	27870	36.403502	-77.647389	DMV
Mobile Unit at the Senior Center	1403 CHURCH ST		SCOTLAND NECK	27874-1336	36.129122	-77.421398	DMV
Harnett County Emergency Services Driver License Office	1005 Edwards Brothers Drive		Lillington	27546	35.3920793	-78.8032186	DMV
Erwin Driver License Office	125 West Jackson Boulevard		Erwin	28339	35.339712	-78.679064	DMV
Clyde Driver License Office	290 Lee Road		Clyde	28721	35.530619	-82.935746	DMV
Hendersonville Driver License Office	125 Baystone Drive		Hendersonville	28791	35.360357	-82.481329	DMV
Ahoskie Driver License Office	242 NC 42 West		Ahoskie	27910	36.278448	-77.013999	DMV
Mobile Unit at the Volunteer Fire Department	822 Irvin Garrish Highway		Ocracoke	27960	35.108699	-75.977116	DMV
Mobile Unit at the Hyde County Government Building	13 MAIN ST		SWAN QUARTER	27885-9382	35.406289	-76.328967	DMV
Statesville Driver License Office	905 Carolina Avenue North		Statesville	28677	35.806059	-80.878639	DMV
Commercial Driver License Skills Testing Site	1028 Turnersburg Hwy		Statesville	28625	35.854652	-80.851143	DMV
Shotwell Station Driver License Office	1665 OLD US 70 HWY W		CLAYTON	27520-6566	35.6695357	-78.4786006	DMV
Smithfield Driver License Office	3783 US 301 South		Smithfield	27577	35.4711912	-78.3835284	DMV
Sanford Driver License Office	2210 Carthage Street		Sanford	27330	35.445734	-79.21415	DMV
Kinston Driver License Office	2214 West Vernon Avenue		Kinston	28501	35.269199	-77.612813	DMV
Lincolnton Driver License Office	1450 North Aspen Street		Lincolnton	28092	35.4898079	-81.249179	DMV
Franklin Driver License Office	16 PATTON AVE		FRANKLIN	28734-3043	35.182163	-83.37899	DMV
Jackie Ball Building Driver License Office	164 North Main Street		Marshall	28753	35.798273	-82.686613	DMV
Marion Driver License Office	3975 NC 226 South		Marion	28752	35.6524443	-81.955681	DMV
West Charlotte Driver License Office	6016 Brookshire Boulevard		Charlotte	28216	35.284753	-80.903616	DMV
Huntersville Driver License Office	12101 Mt. Holly-Huntersville Road		Huntersville	28078	35.389027	-80.854668	DMV
Mobile Unit at Pineville Communication Systems	118 COLLEGE ST		PINEVILLE	28134-9706	35.086667	-80.888316	DMV
Spruce Pine Driver License Office	1032 OAK AVE		SPRUCE PINE	28777-2834	35.9195059	-82.0584136	DMV
Troy Driver License Office	168 Glenn Road		Troy	27371	35.379317	-79.880845	DMV
Aberdeen Driver License Office	521 South Sandhills Boulevard		Aberdeen	28315	35.126093	-79.433596	DMV
Mobile Unit at the Robbins Area Library	161 East Magnolia Drive		Robbins	27325	35.431765	-79.58739	DMV
Rocky Mount Driver License Office	2617 North Wesleyan Boulevard		Rocky Mount	27804	35.9997309	-77.7758865	DMV
Jacksonville Driver License Office	299 Wilmington Highway		Jacksonville	28540	34.746138	-77.454154	DMV
Mobile Unit at Camp Lejeune Hadnot Point Plaza	84 Holcomb Blvd.		Camp Lejeune	28540	34.6694841	-77.3427414	DMV
Hillsborough Driver License Office	1201 US HIGHWAY 70 W		HILLSBOROUGH	27278-7004	36.085039	-79.124645	DMV
Mobile Unit at the Pamlico County Human Services Center	828 Alliance St.		BAYBORO	28515	35.1445993	-76.8102629	DMV
Elizabeth City Driver License Office	1164 US 17 South		Elizabeth City	27909	36.2821092	-76.277515	DMV
Burgaw Driver License Office	781 U.S. 117 South		Burgaw	28425	34.542667	-77.91019	DMV
Mobile Unit at the Perquimans County Municipal Building	114 W. Grubb St.		HERTFORD	27944	36.189954	-76.467914	DMV
Roxboro Driver License Office	3434 Burlington Road		Roxboro	27573	36.3542599	-79.043172	DMV
Mobile Unit at the Polk County License Plate Agency	51 WALKER ST		COLUMBUS	28722-7497	35.249595	-82.197819	DMV
Asheboro Driver License Office	2754 US Highway 220 Business South		Asheboro	27205	35.6738998	-79.8256368	DMV
Hamlet Driver License Office	200 COLLEGE DR		HAMLET	28345-4637	34.907439	-79.712457	DMV
Lumberton Driver License Office	4650 Kahn Drive		Lumberton	28358-2308	34.660013	-79.008085	DMV
Commercial Driver License Skills Testing Site	2479 E Fifth Street		Lumberton	28358-6809	34.6088069	-78.9738738	DMV
Pembroke Driver License Office	100 South Union Chapel Road		Pembroke	28372	34.6814421	-79.1913072	DMV
Mobile Unit at the St. Pauls Police Station	210 West Blue Street		St. Pauls	28384	34.8057717	-78.9728238	DMV
Mobile Unit at the Fairmont Fire Department	103 Cottage Street		Fairmont	28340	34.4940846	-79.1075674	DMV
Wentworth Driver License Office	111 Wilson-Way Road		Reidsville	27320	36.371898	-79.73257	DMV
Salisbury Driver License Office	5780 South Main Street		Salisbury	28144	35.603619	-80.5425659	DMV
Forest City Driver License Office	596 Withrow Road		Forest City	28043	35.343354	-81.898223	DMV
Clinton Driver License Office	305 North Boulevard		Clinton	28328	35.0159064	-78.3287315	DMV
Highway Patrol Building Driver License Office	1421 West Boulevard		Laurinburg	28352	34.759554	-79.493348	DMV
Albemarle Driver License Office	611 Concord Road		Albemarle	28001	35.3553349	-80.217076	DMV
Walnut Cove Driver License Office	111 W. Sixth Street		Walnut Cove	27052	36.299517	-80.141748	DMV
Elkin Driver License Office	1687 North Bridge Street		Elkin	28621	36.276533	-80.853234	DMV
Mount Airy Driver License Office	155 Patrol Station Road		Mount Airy	27030	36.528803	-80.629609	DMV
Bryson City Driver License Office	2650 GOVERNORS ISLAND RD		BRYSON CITY	28713-7983	35.434678	-83.411912	DMV
Mobile Unit at the Municipal Library	403 Main Street		Columbia	27925	35.917526	-76.251883	DMV
Monroe Driver License Office	3122 US 74 West		Monroe	28110	35.0243292	-80.5831194	DMV
Mobile Unit at Edwards Memorial Library	414 HASTY ST		MARSHVILLE	28103-1242	34.9911903	-80.3637335	DMV
Avent Ferry Shopping Center Driver License Office	3231 Avent Ferry Road		Raleigh	27606	35.767765	-78.696068	DMV
Forest Hills Shopping Center Driver License Office	222 Forest Hills Drive		Garner	27529	35.707258	-78.6231171	DMV
